,ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe
0,2022,Aveiro,Albergaria-a-Velha,50608190.0,14082,3593.8211901718505
1,2022,Aveiro,Anadia,57570666.0,17134,3360.0248628458035
2,2022,Aveiro,Arouca,41872995.0,12546,3337.557388809182
3,2022,Aveiro,Aveiro,179395482.734,50830,3529.322894629156
4,2022,Aveiro,Castelo de Paiva,26492718.0,7946,3334.094890510949
5,2022,Aveiro,Espinho,62180220.6,18476,3365.4590062784155
6,2022,Aveiro,Estarreja,49884519.0,14304,3487.4523909395975
7,2022,Aveiro,Mealhada,35622267.0,11422,3118.741638942392
8,2022,Aveiro,Murtosa,22175040.0,8526,2600.8726249120336
9,2022,Aveiro,Oliveira de Azeméis,119666812.596,32962,3630.447563740064
10,2022,Aveiro,Oliveira do Bairro,47035235.0,13539,3474.055321663343
11,2022,Aveiro,Ovar,110189256.0,32031,3440.0816708813336
12,2022,Aveiro,Santa Maria da Feira,253117705.29,71484,3540.9001355548094
13,2022,Aveiro,Sever do Vouga,23661555.0,7612,3108.4544140830267
14,2022,Aveiro,São João da Madeira,56338854.0,13407,4202.196912060864
15,2022,Aveiro,Vagos,44825651.266,15431,2904.9090315598473
16,2022,Aveiro,Vale de Cambra,42376464.0,13304,3185.2423331328923
17,2022,Aveiro,Águeda,84751813.0,24389,3475.001558079462
18,2022,Aveiro,Ílhavo,69153800.0,25080,2757.3285486443383
19,2022,Beja,Aljustrel,21041634.0,5975,3521.6123849372384
20,2022,Beja,Almodôvar,15446665.0,5643,2737.314371788056
21,2022,Beja,Alvito,5633743.0,1676,3361.4218377088305
22,2022,Beja,Barrancos,3034860.0,1231,2465.36149471974
23,2022,Beja,Beja,83114675.0,22764,3651.1454489544894
24,2022,Beja,Castro Verde,15805945.0,4954,3190.541986273718
25,2022,Beja,Cuba,11017592.0,3103,3550.625845955527
26,2022,Beja,Ferreira do Alentejo,19717429.0,5219,3778.00900555662
27,2022,Beja,Moura,32602706.994,10289,3168.6954022742734
28,2022,Beja,Mértola,15854334.0,7962,1991.2501883948757
29,2022,Beja,Odemira,68695724.0,20164,3406.850029756001
30,2022,Beja,Ourique,12148990.0,4124,2945.9238603297767
31,2022,Beja,Serpa,34805020.408,10570,3292.8117699148534
